country_code,currency_code
ABW,AWG
AFG,AFN
AGO,AOA
AIA,XCD
ALA,EUR
ALB,ALL
AND,EUR
ARE,AED
ARG,ARS
ARM,AMD
ASM,USD
ATF,EUR
ATG,XCD
AUS,AUD
AUT,EUR
AZE,AZN
BDI,BIF
BEL,EUR
BEN,XOF
BES,USD
BFA,XOF
BGD,BDT
BGR,BGN
BHR,BHD
BHS,BSD
BHS,USD
BIH,BAM
BLM,EUR
BLR,BYN
BLZ,BZD
BMU,BMD
BOL,BOB
BRA,BRL
BRB,BBD
BRN,BND
BRN,SGD
BTN,BTN
BTN,INR
BWA,BWP
CAF,XAF
CAN,CAD
CCK,AUD
CHE,CHF
CHL,CLP
CHN,CNY
CIV,XOF
CMR,XAF
COD,CDF
COG,XAF
COK,CKD
COK,NZD
COL,COP
COM,KMF
CPV,CVE
CRI,CRC
CUB,CUC
CUB,CUP
CUW,ANG
CXR,AUD
CYM,KYD
CYP,EUR
CZE,CZK
DEU,EUR
DJI,DJF
DMA,XCD
DNK,DKK
DOM,DOP
DZA,DZD
ECU,USD
EGY,EGP
ERI,ERN
ESH,DZD
ESH,MAD
ESH,MRU
ESP,EUR
EST,EUR
ETH,ETB
FIN,EUR
FJI,FJD
FLK,FKP
FRA,EUR
FRO,DKK
FRO,FOK
GAB,XAF
GBR,GBP
GEO,GEL
GGY,GBP
GGY,GGP
GHA,GHS
GIB,GIP
GIN,GNF
GLP,EUR
GMB,GMD
GNB,XOF
GNQ,XAF
GRC,EUR
GRD,XCD
GRL,DKK
GTM,GTQ
GUF,EUR
GUM,USD
GUY,GYD
HKG,HKD
HND,HNL
HRV,EUR
HTI,HTG
HUN,HUF
IDN,IDR
IMN,GBP
IMN,IMP
IND,INR
IOT,USD
IRL,EUR
IRN,IRR
IRQ,IQD
ISL,ISK
ISR,ILS
ITA,EUR
JAM,JMD
JEY,GBP
JEY,JEP
JOR,JOD
JPN,JPY
KAZ,KZT
KEN,KES
KGZ,KGS
KHM,KHR
KHM,USD
KIR,AUD
KIR,KID
KNA,XCD
KOR,KRW
KWT,KWD
LAO,LAK
LBN,LBP
LBR,LRD
LBY,LYD
LCA,XCD
LIE,CHF
LKA,LKR
LSO,LSL
LSO,ZAR
LTU,EUR
LUX,EUR
LVA,EUR
MAC,MOP
MAF,EUR
MAR,MAD
MCO,EUR
MDA,MDL
MDG,MGA
MDV,MVR
MEX,MXN
MHL,USD
MKD,MKD
MLI,XOF
MLT,EUR
MMR,MMK
MNE,EUR
MNG,MNT
MNP,USD
MOZ,MZN
MRT,MRU
MSR,XCD
MTQ,EUR
MUS,MUR
MWI,MWK
MYS,MYR
MYT,EUR
NAM,NAD
NAM,ZAR
NCL,XPF
NER,XOF
NFK,AUD
NGA,NGN
NIC,NIO
NIU,NZD
NLD,EUR
NOR,NOK
NPL,NPR
NRU,AUD
NZL,NZD
OMN,OMR
PAK,PKR
PAN,PAB
PAN,USD
PCN,NZD
PER,PEN
PHL,PHP
PLW,USD
PNG,PGK
POL,PLN
PRI,USD
PRK,KPW
PRT,EUR
PRY,PYG
PSE,EGP
PSE,ILS
PSE,JOD
PYF,XPF
QAT,QAR
REU,EUR
ROU,RON
RUS,RUB
RWA,RWF
SAU,SAR
SDN,SDG
SEN,XOF
SGP,SGD
SGS,SHP
SHN,GBP
SHN,SHP
SJM,NOK
SLB,SBD
SLE,SLL
SLV,USD
SMR,EUR
SOM,SOS
SPM,EUR
SRB,RSD
SSD,SSP
STP,STN
SUR,SRD
SVK,EUR
SVN,EUR
SWE,SEK
SWZ,SZL
SWZ,ZAR
SXM,ANG
SYC,SCR
SYR,SYP
TCA,USD
TCD,XAF
TGO,XOF
THA,THB
TJK,TJS
TKL,NZD
TKM,TMT
TLS,USD
TON,TOP
TTO,TTD
TUN,TND
TUR,TRY
TUV,AUD
TUV,TVD
TWN,TWD
TZA,TZS
UGA,UGX
UKR,UAH
UMI,USD
URY,UYU
USA,USD
UZB,UZS
VAT,EUR
VCT,XCD
VEN,VES
VGB,USD
VIR,USD
VNM,VND
VUT,VUV
WLF,XPF
WSM,WST
YEM,YER
ZAF,ZAR
ZWE,BWP
ZWE,CNY
ZWE,EUR
ZWE,GBP
ZWE,INR
ZWE,JPY
ZWE,USD
ZWE,ZAR
